farm,year,month,inventory,lep_av,lep_tot,cal_av,cal_tot
Arrow Passage,2006,5,1167212,0.55,641966.6,0.0375,43770.45
Arrow Passage,2006,6,1163275,0.483333333333333,562249.583333333,0.133333333333333,155103.333333333
Arrow Passage,2006,7,876532,0.466666666666667,409048.266666667,0.216666666666667,189915.266666667
Arrow Passage,2007,1,1214963,0.275,334114.825,0.1,121496.3
Arrow Passage,2007,3,1197810,0.6,718686,0.433333333333333,519051
Arrow Passage,2007,4,1192500,0.883333333333333,1053375,1.01666666666667,1212375
Arrow Passage,2007,5,1186118,0.233333333333333,276760.866666667,0.383333333333333,454678.566666667
Arrow Passage,2007,6,1183695,0.4,473478,0.416666666666667,493206.25
Arrow Passage,2007,7,873167,0.075,65487.525,0.325,283779.275
Arrow Passage,2007,8,556493,0.0833333333333333,46374.4166666667,0.116666666666667,64924.1833333333
Arrow Passage,2008,1,1361206,0.0833333333333333,113433.833333333,0.266666666666667,362988.266666667
Arrow Passage,2008,2,1349510,0.0666666666666667,89967.3333333333,0.0333333333333333,44983.6666666667
Arrow Passage,2008,3,1345346,0.2,269069.2,0.1,134534.6
Arrow Passage,2008,4,1342374,0.0166666666666667,22372.9,0.1,134237.4
Arrow Passage,2008,5,1335317,0.283333333333333,378339.816666667,0.0333333333333333,44510.5666666667
Arrow Passage,2008,6,1326990,0.133333333333333,176932,0.283333333333333,375980.5
Arrow Passage,2008,7,1324994,0.0666666666666667,88332.9333333333,0,0
Arrow Passage,2009,1,1224406,0.3,367321.8,0.783333333333333,959118.033333333
Arrow Passage,2009,2,1216439,0.3,364931.7,0.366666666666667,446027.633333333
Arrow Passage,2009,3,1204321,0.116666666666667,140504.116666667,0.883333333333333,1063816.88333333
Arrow Passage,2009,4,1196781,0.183333333333333,219409.85,0.25,299195.25
Arrow Passage,2009,5,1193945,0.25,298486.25,0.916666666666667,1094449.58333333
Arrow Passage,2009,6,1192653,0.133333333333333,159020.4,1.1,1311918.3
Arrow Passage,2009,7,809805,0.05,40490.25,0.0666666666666667,53987
Arrow Passage,2009,8,427254,0.283333333333333,121055.3,0.133333333333333,56967.2
Arrow Passage,2010,3,478241,0.516666666666667,247091.183333333,0.05,23912.05
Arrow Passage,2010,4,473134,0.616666666666667,291765.966666667,0.133333333333333,63084.5333333333
Arrow Passage,2010,5,471014,0.2,94202.8,0.116666666666667,54951.6333333333
Arrow Passage,2010,6,469382,0.866666666666667,406797.733333333,0.433333333333333,203398.866666667
Arrow Passage,2010,7,468492,0.2,93698.4,1.41666666666667,663697
Arrow Passage,2010,11,886112,0.0666666666666667,59074.1333333333,0.15,132916.8
Arrow Passage,2010,12,849407,0.15,127411.05,0.15,127411.05
Arrow Passage,2011,1,824742,0.25,206185.5,0.05,41237.1
Arrow Passage,2011,2,820478,0.35,287167.3,0.266666666666667,218794.133333333
Arrow Passage,2011,3,818956,0.266666666666667,218388.266666667,0.266666666666667,218388.266666667
Arrow Passage,2011,4,818016,0.233333333333333,190870.4,0.4,327206.4
Arrow Passage,2011,5,816558,0.133333333333333,108874.4,0.108333333333333,88460.45
Arrow Passage,2011,6,813480,0.258333333333333,210149,0.075,61011
Burdwood,2003,10,669914,1.68333333333333,1127688.56666667,1.01666666666667,681079.233333333
Burdwood,2003,11,668514,1.5,1002771,0.3,200554.2
Burdwood,2003,12,667431,2.13333333333333,1423852.8,0.716666666666667,478325.55
Burdwood,2004,1,664749,0.0666666666666667,44316.6,0,0
Burdwood,2004,2,662988,0,0,0,0
Burdwood,2004,3,662544,0,0,0.05,33127.2
Burdwood,2004,4,662100,0.0333333333333333,22070,0.0833333333333333,55175
Burdwood,2004,5,661688,0.533333333333333,352900.266666667,0.641666666666667,424583.133333333
Burdwood,2004,6,661274,4.51666666666667,2986754.23333333,0.191666666666667,126744.183333333
Burdwood,2004,7,660733,2.65079365079365,1751466.84126984,0.174603174603175,115366.079365079
Burdwood,2004,8,659707,4.90476190476191,3235705.76190476,0.19047619047619,125658.476190476
Burdwood,2004,10,598764,3.11111111111111,1862821.33333333,1.12698412698413,674797.523809524
Burdwood,2004,11,597678,3.25,1942453.5,0,0
Burdwood,2004,12,556562,3.81666666666667,2124211.63333333,0.616666666666667,343213.233333333
Burdwood,2005,1,408467,5.73333333333333,2341877.46666667,0.8,326773.6
Burdwood,2005,2,407471,5.46666666666667,2227508.13333333,0.133333333333333,54329.4666666667
Burdwood,2005,3,355417,0.166666666666667,59236.1666666667,0.0166666666666667,5923.61666666667
Burdwood,2005,4,265183,0.9,238664.7,0.05,13259.15
Burdwood,2005,7,724526,0.0833333333333333,60377.1666666667,0.0166666666666667,12075.4333333333
Burdwood,2005,8,722160,0.233333333333333,168504,0.116666666666667,84252
Burdwood,2005,9,720628,1.2,864753.6,0.15,108094.2
Burdwood,2005,10,719109,2.61666666666667,1881668.55,0.766666666666667,551316.9
Burdwood,2005,11,717537,2.71666666666667,1949308.85,0.0666666666666667,47835.8
Burdwood,2005,12,716641,4.38333333333333,3141276.38333333,0.733333333333333,525536.733333333
Burdwood,2006,1,715603,5.88333333333333,4210130.98333333,0.183333333333333,131193.883333333
Burdwood,2006,2,714560,1.33333333333333,952746.666666667,0,0
Burdwood,2006,3,713124,0.283333333333333,202051.8,0.0166666666666667,11885.4
Burdwood,2006,4,710837,0,0,0,0
Burdwood,2006,5,667282,0.0166666666666667,11121.3666666667,0.0166666666666667,11121.3666666667
Burdwood,2006,6,620835,0.183333333333333,113819.75,0.0166666666666667,10347.25
Burdwood,2006,7,385676,0.0833333333333333,32139.6666666667,0,0
Burdwood,2007,3,607354,0.133333333333333,80980.5333333333,0.183333333333333,111348.233333333
Burdwood,2007,4,592825,0.1,59282.5,0.05,29641.25
Burdwood,2007,5,590589,0.633333333333333,374039.7,0.0333333333333333,19686.3
Burdwood,2007,6,586834,0.333333333333333,195611.333333333,0.0166666666666667,9780.56666666667
Burdwood,2007,7,581132,0.05,29056.6,0,0
Burdwood,2007,8,578290,0.15,86743.5,0,0
Burdwood,2007,9,576770,0.283333333333333,163418.166666667,0.0166666666666667,9612.83333333333
Burdwood,2007,10,575699,0.45,259064.55,0.05,28784.95
Burdwood,2007,11,574176,0.233333333333333,133974.4,0,0
Burdwood,2007,12,571703,0.266666666666667,152454.133333333,0,0
