year,unid_cope,lep_cope,cal_cope,chala,chalb,chal_unid,lep_pamale,lep_male,lep_nongravid,lep_gravid,lep_pafemale,cal_mot,cal_gravid,unid_adult,unid_pa,lep_mot,all_lice,all_sp_mot,all_mot,all_sp_cope,all_cope,all_chal,prop_lep_mot,prop_lep_cope,obs_id
2001,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,7,5,7,0,0,0,1,NA,214
2001,0,0,0,3,0,0,0,0,0,0,0,0,0,2,1,1,6,1,3,0,0,3,1,NA,215
2001,0,0,0,9,1,0,0,0,0,0,0,0,0,2,5,5,17,5,7,0,0,10,1,NA,216
2001,0,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,6,0,1,0,0,5,NA,NA,217
2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,NA,218
2001,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,1,6,1,1,0,0,5,1,NA,219
2001,0,0,0,7,1,0,0,0,0,0,0,0,0,2,2,2,12,2,4,0,0,8,1,NA,220
2001,0,0,0,18,2,0,0,0,0,0,0,0,0,3,2,2,25,2,5,0,0,20,1,NA,221
2001,0,0,0,2,0,0,0,0,0,0,0,0,0,4,2,2,8,2,6,0,0,2,1,NA,222
2001,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,3,0,2,0,0,1,NA,NA,223
2001,0,0,0,1,1,0,0,0,0,0,0,0,0,5,2,2,9,2,7,0,0,2,1,NA,224
2001,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,NA,NA,225
2001,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,2,NA,NA,226
2001,0,0,0,1,1,0,0,0,0,0,0,0,0,4,2,2,8,2,6,0,0,2,1,NA,227
2001,0,0,0,18,0,0,0,0,0,0,0,0,0,3,5,5,26,5,8,0,0,18,1,NA,228
2001,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,NA,NA,229
2001,0,0,0,2,4,0,0,0,0,0,0,0,0,3,3,3,12,3,6,0,0,6,1,NA,230
2001,0,0,0,28,8,0,0,0,0,0,0,0,0,0,1,1,37,1,1,0,0,36,1,NA,231
2001,0,0,0,4,1,0,0,0,0,0,0,0,0,3,3,3,11,3,6,0,0,5,1,NA,232
2001,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,4,2,3,0,0,1,1,NA,233
2001,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,2,9,2,2,0,0,7,1,NA,234
2001,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,4,2,2,0,0,2,1,NA,235
2001,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,8,20,8,20,0,0,0,1,NA,236
2001,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,NA,NA,237
2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,NA,238
2001,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,5,2,5,0,0,0,1,NA,239
2001,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,4,1,4,0,0,0,1,NA,240
2001,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,NA,NA,241
2001,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,6,1,6,0,0,0,1,NA,242
2001,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,NA,NA,243
